Area,Date,Area type,Region,Commodity category,Amount (USD),Amount 12 month rolling sum (USD)
Afghanistan,2/1/2021,Country or economy,Asia,Batteries,16300,1585294
Afghanistan,2/1/2021,Country or economy,Asia,EVs,0,122425
Afghanistan,2/1/2021,Country or economy,Asia,Grid,61175,1867617
Afghanistan,2/1/2021,Country or economy,Asia,Heating and cooling systems,12598,2903148
Afghanistan,2/1/2021,Country or economy,Asia,Solar PV,481588,10512547
Afghanistan,2/1/2021,Country or economy,Asia,Wind,0,0
Afghanistan,3/1/2021,Country or economy,Asia,All technologies,2093463,17693206
Afghanistan,3/1/2021,Country or economy,Asia,Batteries,42555,1579907
Afghanistan,3/1/2021,Country or economy,Asia,EVs,0,122425
Afghanistan,3/1/2021,Country or economy,Asia,Grid,124117,1983674
Afghanistan,3/1/2021,Country or economy,Asia,Heating and cooling systems,134514,2644111
Afghanistan,3/1/2021,Country or economy,Asia,Solar PV,1791683,11362495
Afghanistan,3/1/2021,Country or economy,Asia,Wind,594,594
Afghanistan,4/1/2021,Country or economy,Asia,All technologies,1402712,18260704
Afghanistan,4/1/2021,Country or economy,Asia,Batteries,37815,1575679
Afghanistan,4/1/2021,Country or economy,Asia,EVs,2252,124489
Afghanistan,4/1/2021,Country or economy,Asia,Grid,143938,2056172
Afghanistan,4/1/2021,Country or economy,Asia,Heating and cooling systems,53393,2371699
Afghanistan,4/1/2021,Country or economy,Asia,Solar PV,1165314,12132071
Afghanistan,4/1/2021,Country or economy,Asia,Wind,0,594
Afghanistan,5/1/2021,Country or economy,Asia,All technologies,1781345,19159992
Afghanistan,5/1/2021,Country or economy,Asia,Batteries,571133,2046794
Afghanistan,5/1/2021,Country or economy,Asia,EVs,794,125283
Afghanistan,5/1/2021,Country or economy,Asia,Grid,83266,2059044
Afghanistan,5/1/2021,Country or economy,Asia,Heating and cooling systems,231457,2160716
Afghanistan,5/1/2021,Country or economy,Asia,Solar PV,894695,12767561
Afghanistan,5/1/2021,Country or economy,Asia,Wind,0,594
Afghanistan,6/1/2021,Country or economy,Asia,All technologies,3319298,21168772
Afghanistan,6/1/2021,Country or economy,Asia,Batteries,6900,2028152
Afghanistan,6/1/2021,Country or economy,Asia,EVs,12709,137992
Afghanistan,6/1/2021,Country or economy,Asia,Grid,2134930,3738046
Afghanistan,6/1/2021,Country or economy,Asia,Heating and cooling systems,288816,2057932
Afghanistan,6/1/2021,Country or economy,Asia,Solar PV,875943,13206056
Afghanistan,6/1/2021,Country or economy,Asia,Wind,0,594
Afghanistan,7/1/2021,Country or economy,Asia,All technologies,2288740,19101215
Afghanistan,7/1/2021,Country or economy,Asia,Batteries,6808,2016154
Afghanistan,7/1/2021,Country or economy,Asia,EVs,0,137992
Afghanistan,7/1/2021,Country or economy,Asia,Grid,90163,3799219
Afghanistan,7/1/2021,Country or economy,Asia,Heating and cooling systems,2165,1705411
Afghanistan,7/1/2021,Country or economy,Asia,Solar PV,2189604,11441845
Afghanistan,7/1/2021,Country or economy,Asia,Wind,0,594
Afghanistan,8/1/2021,Country or economy,Asia,All technologies,1429747,19299928
Afghanistan,8/1/2021,Country or economy,Asia,Batteries,111123,1886155
Afghanistan,8/1/2021,Country or economy,Asia,EVs,0,137826
Afghanistan,8/1/2021,Country or economy,Asia,Grid,37443,3676295
Afghanistan,8/1/2021,Country or economy,Asia,Heating and cooling systems,166123,1585165
Afghanistan,8/1/2021,Country or economy,Asia,Solar PV,1115058,12013893
Afghanistan,8/1/2021,Country or economy,Asia,Wind,0,594
Afghanistan,9/1/2021,Country or economy,Asia,All technologies,82315,18386621
Afghanistan,9/1/2021,Country or economy,Asia,Batteries,20408,1669362
Afghanistan,9/1/2021,Country or economy,Asia,EVs,0,137826
Afghanistan,9/1/2021,Country or economy,Asia,Grid,46463,3705742
Afghanistan,9/1/2021,Country or economy,Asia,Heating and cooling systems,0,1397765
Afghanistan,9/1/2021,Country or economy,Asia,Solar PV,15444,11475332
Afghanistan,9/1/2021,Country or economy,Asia,Wind,0,594
Afghanistan,10/1/2021,Country or economy,Asia,All technologies,658537,17722951
Afghanistan,10/1/2021,Country or economy,Asia,Batteries,35011,1475140
Afghanistan,10/1/2021,Country or economy,Asia,EVs,0,137826
Afghanistan,10/1/2021,Country or economy,Asia,Grid,128053,3750530
Afghanistan,10/1/2021,Country or economy,Asia,Heating and cooling systems,0,1247459
Afghanistan,10/1/2021,Country or economy,Asia,Solar PV,495473,11111402
Afghanistan,10/1/2021,Country or economy,Asia,Wind,0,594
Afghanistan,11/1/2021,Country or economy,Asia,All technologies,1440953,17302894
Afghanistan,11/1/2021,Country or economy,Asia,Batteries,22400,1330132
Afghanistan,11/1/2021,Country or economy,Asia,EVs,0,25506
Afghanistan,11/1/2021,Country or economy,Asia,Grid,237247,3242052
Afghanistan,11/1/2021,Country or economy,Asia,Heating and cooling systems,0,1063632
Afghanistan,11/1/2021,Country or economy,Asia,Solar PV,1181306,11640978
Afghanistan,11/1/2021,Country or economy,Asia,Wind,0,594
Afghanistan,12/1/2021,Country or economy,Asia,All technologies,1861511,18002292
Afghanistan,12/1/2021,Country or economy,Asia,Batteries,14165,1135067
Afghanistan,12/1/2021,Country or economy,Asia,EVs,0,25506
Afghanistan,12/1/2021,Country or economy,Asia,Grid,89740,3242512
Afghanistan,12/1/2021,Country or economy,Asia,Heating and cooling systems,0,940964
Afghanistan,12/1/2021,Country or economy,Asia,Solar PV,1757606,12657649
Afghanistan,12/1/2021,Country or economy,Asia,Wind,0,594
Afghanistan,1/1/2022,Country or economy,Asia,All technologies,1379430,18309712
Afghanistan,1/1/2022,Country or economy,Asia,Batteries,72021,956639
Afghanistan,1/1/2022,Country or economy,Asia,EVs,0,15755
Afghanistan,1/1/2022,Country or economy,Asia,Grid,117007,3293542
Afghanistan,1/1/2022,Country or economy,Asia,Heating and cooling systems,0,889066
Afghanistan,1/1/2022,Country or economy,Asia,Solar PV,1189987,13153701
Afghanistan,1/1/2022,Country or economy,Asia,Wind,415,1009
Afghanistan,2/1/2022,Country or economy,Asia,All technologies,527796,18265847
Afghanistan,2/1/2022,Country or economy,Asia,Batteries,0,940339
Afghanistan,2/1/2022,Country or economy,Asia,EVs,0,15755
Afghanistan,2/1/2022,Country or economy,Asia,Grid,15208,3247575
Afghanistan,2/1/2022,Country or economy,Asia,Heating and cooling systems,0,876468
Afghanistan,2/1/2022,Country or economy,Asia,Solar PV,512588,13184701
Afghanistan,2/1/2022,Country or economy,Asia,Wind,0,1009
Afghanistan,3/1/2022,Country or economy,Asia,All technologies,1225434,17397818
Afghanistan,3/1/2022,Country or economy,Asia,Batteries,89198,986982
Afghanistan,3/1/2022,Country or economy,Asia,EVs,0,15755
Afghanistan,3/1/2022,Country or economy,Asia,Grid,0,3123458
Afghanistan,3/1/2022,Country or economy,Asia,Heating and cooling systems,7047,749001
Afghanistan,3/1/2022,Country or economy,Asia,Solar PV,1129189,12522207
Afghanistan,3/1/2022,Country or economy,Asia,Wind,0,415
Afghanistan,4/1/2022,Country or economy,Asia,All technologies,619218,16614324
Afghanistan,4/1/2022,Country or economy,Asia,Solar PV,619218,11976111
Afghanistan,5/1/2022,Country or economy,Asia,All technologies,1524150,16357129
Afghanistan,5/1/2022,Country or economy,Asia,Batteries,41490,990657
Afghanistan,5/1/2022,Country or economy,Asia,EVs,0,13503
Afghanistan,5/1/2022,Country or economy,Asia,Grid,114659,3094179
Afghanistan,5/1/2022,Country or economy,Asia,Heating and cooling systems,52380,747988
Afghanistan,5/1/2022,Country or economy,Asia,Solar PV,1315621,12397037
Afghanistan,5/1/2022,Country or economy,Asia,Wind,0,415
Afghanistan,6/1/2022,Country or economy,Asia,All technologies,1775403,14813234
Afghanistan,6/1/2022,Country or economy,Asia,Batteries,34328,453852
Afghanistan,6/1/2022,Country or economy,Asia,EVs,0,12709
Afghanistan,6/1/2022,Country or economy,Asia,Grid,128764,3139677
Afghanistan,6/1/2022,Country or economy,Asia,Heating and cooling systems,0,516531
Afghanistan,6/1/2022,Country or economy,Asia,Solar PV,1612311,13133405
Afghanistan,6/1/2022,Country or economy,Asia,Wind,0,415
Afghanistan,7/1/2022,Country or economy,Asia,All technologies,3477840,16002334
Afghanistan,7/1/2022,Country or economy,Asia,Batteries,259425,706377
Afghanistan,7/1/2022,Country or economy,Asia,EVs,0,0
Afghanistan,7/1/2022,Country or economy,Asia,Grid,154081,1158828
Afghanistan,7/1/2022,Country or economy,Asia,Heating and cooling systems,0,227715
Afghanistan,7/1/2022,Country or economy,Asia,Solar PV,3064334,14008135
Afghanistan,7/1/2022,Country or economy,Asia,Wind,0,415
Afghanistan,8/1/2022,Country or economy,Asia,All technologies,2276269,16848856
Afghanistan,8/1/2022,Country or economy,Asia,Batteries,16100,715669
Afghanistan,8/1/2022,Country or economy,Asia,EVs,0,0
Afghanistan,8/1/2022,Country or economy,Asia,Grid,126434,1195099
Afghanistan,8/1/2022,Country or economy,Asia,Heating and cooling systems,84945,310495
Afghanistan,8/1/2022,Country or economy,Asia,Solar PV,2048790,14941867
Afghanistan,8/1/2022,Country or economy,Asia,Wind,0,415
Afghanistan,9/1/2022,Country or economy,Asia,All technologies,1434225,18200766
Afghanistan,9/1/2022,Country or economy,Asia,Batteries,0,604546
Afghanistan,9/1/2022,Country or economy,Asia,EVs,61,61
Afghanistan,9/1/2022,Country or economy,Asia,Grid,333497,1491153
Afghanistan,9/1/2022,Country or economy,Asia,Heating and cooling systems,256510,400882
